week,area,category,prior_requests,ngo_response_hrs,poverty_index,population_density,rainfall_mm,shelter_occupancy_pct,volunteers_available,risk_score,label
1,Ward 12,Food,8,4.2,0.72,8400,12,0.61,42,78,high
1,River Belt,Health,5,6.1,0.65,5200,34,0.55,38,64,medium
1,Industrial Edge,Shelter,3,8.4,0.58,3100,8,0.88,29,71,high
1,Transit Block,Safety,2,10.2,0.44,2800,5,0.72,35,42,low
2,Ward 12,Food,11,3.8,0.72,8400,9,0.68,39,85,high
2,River Belt,Health,7,5.5,0.65,5200,41,0.58,36,72,high
2,Industrial Edge,Shelter,4,7.9,0.58,3100,6,0.91,27,76,high
2,Transit Block,Safety,1,11.0,0.44,2800,3,0.69,38,38,low
3,Ward 12,Food,14,3.2,0.72,8400,6,0.74,35,91,high
3,River Belt,Health,9,4.9,0.65,5200,28,0.61,33,79,high
3,Industrial Edge,Shelter,6,7.2,0.58,3100,4,0.93,25,82,high
3,Transit Block,Safety,3,9.5,0.44,2800,7,0.71,37,46,medium
4,Ward 12,Food,18,2.9,0.72,8400,3,0.81,30,94,high
4,River Belt,Health,11,4.4,0.65,5200,19,0.65,31,83,high
4,Industrial Edge,Shelter,8,6.8,0.58,3100,2,0.96,22,87,high
4,Transit Block,Safety,4,8.9,0.44,2800,9,0.73,34,52,medium
5,Ward 12,Food,22,2.6,0.72,8400,1,0.88,26,97,high
5,River Belt,Health,13,4.1,0.65,5200,14,0.68,28,88,high
5,Industrial Edge,Shelter,9,6.5,0.58,3100,3,0.97,20,91,high
5,Transit Block,Safety,6,8.2,0.44,2800,12,0.75,32,58,medium
6,Ward 12,Food,19,3.1,0.72,8400,8,0.82,31,92,high
6,River Belt,Health,10,4.7,0.65,5200,22,0.62,35,81,high
6,Industrial Edge,Shelter,7,7.0,0.58,3100,5,0.94,24,84,high
6,Transit Block,Safety,5,8.8,0.44,2800,14,0.71,33,54,medium
7,Ward 12,Food,16,3.5,0.72,8400,15,0.76,34,87,high
7,River Belt,Health,8,5.2,0.65,5200,31,0.57,37,72,high
7,Industrial Edge,Shelter,5,7.4,0.58,3100,9,0.89,26,78,high
7,Transit Block,Safety,3,9.8,0.44,2800,18,0.68,36,44,low
8,North Campus,Education,4,9.1,0.51,4500,20,0.40,45,48,medium
8,South Campus,Employment,2,11.5,0.48,3800,16,0.35,50,36,low
8,East Campus,Food,6,6.3,0.59,4100,11,0.52,41,62,medium
8,West Campus,Health,5,7.8,0.61,3700,25,0.48,43,58,medium
9,North Campus,Education,6,8.5,0.51,4500,17,0.43,43,54,medium
9,South Campus,Employment,3,10.8,0.48,3800,13,0.38,48,41,low
9,East Campus,Food,8,5.9,0.59,4100,8,0.56,38,66,medium
9,West Campus,Health,7,7.2,0.61,3700,21,0.51,40,63,medium
10,Ward 12,Food,21,2.7,0.72,8400,4,0.85,28,95,high
10,River Belt,Health,12,4.3,0.65,5200,17,0.66,30,85,high
10,Industrial Edge,Shelter,10,6.3,0.58,3100,1,0.98,18,94,high
10,Transit Block,Safety,7,8.4,0.44,2800,11,0.77,31,61,medium
10,North Campus,Education,8,8.0,0.51,4500,14,0.46,41,58,medium
10,South Campus,Employment,4,10.3,0.48,3800,10,0.41,46,45,low
10,East Campus,Food,10,5.5,0.59,4100,6,0.59,36,70,high
10,West Campus,Health,9,6.8,0.61,3700,18,0.54,38,67,medium
